arquivo,categoria,linhas,motivo
".dockerignore","coeso e necessario","80","Em uso ou parte estrutural valida da aplicacao/projeto."
".editorconfig","coeso e necessario","42","Em uso ou parte estrutural valida da aplicacao/projeto."
".env.dev","coeso e necessario","14","Em uso ou parte estrutural valida da aplicacao/projeto."
".env.example","coeso e necessario","28","Em uso ou parte estrutural valida da aplicacao/projeto."
".env.prod","coeso e necessario","16","Em uso ou parte estrutural valida da aplicacao/projeto."
".eslintignore","coeso e necessario","10","Em uso ou parte estrutural valida da aplicacao/projeto."
".eslintrc.json","coeso e necessario","100","Em uso ou parte estrutural valida da aplicacao/projeto."
".gitattributes","coeso e necessario","11","Em uso ou parte estrutural valida da aplicacao/projeto."
".github/copilot-instructions.md","coeso e necessario","147","Em uso ou parte estrutural valida da aplicacao/projeto."
".github/workflows/ci.yml","coeso e necessario","50","Em uso ou parte estrutural valida da aplicacao/projeto."
".github/workflows/deploy.yml","coeso e necessario","71","Em uso ou parte estrutural valida da aplicacao/projeto."
".gitignore","coeso e necessario","97","Em uso ou parte estrutural valida da aplicacao/projeto."
".htaccess","coeso e necessario","35","Em uso ou parte estrutural valida da aplicacao/projeto."
".lint-output.txt","desnecessario, pode excluir","","Artefato gerado automaticamente; nao e codigo-fonte nem documento canônico."
".prettierignore","coeso e necessario","23","Em uso ou parte estrutural valida da aplicacao/projeto."
".prettierrc.json","coeso e necessario","28","Em uso ou parte estrutural valida da aplicacao/projeto."
".vscode/README.md","coeso e necessario","113","Em uso ou parte estrutural valida da aplicacao/projeto."
".vscode/iniciar-sistema.ps1","coeso e necessario","17","Em uso ou parte estrutural valida da aplicacao/projeto."
".vscode/settings.json","coeso e necessario","5","Em uso ou parte estrutural valida da aplicacao/projeto."
".vscode/tasks.json","coeso e necessario","48","Em uso ou parte estrutural valida da aplicacao/projeto."
"00_CONFIG/app-config.json","coeso e necessario","12","Em uso ou parte estrutural valida da aplicacao/projeto."
"01_EMPENHOS/2025/2025NE197 CGSM.pdf","desnecessario, pode excluir","","Dados operacionais/backup versionados no repositorio principal; devem ficar fora do controle de codigo."
"01_EMPENHOS/2025/2025NE198 CGSM.pdf","desnecessario, pode excluir","","Dados operacionais/backup versionados no repositorio principal; devem ficar fora do controle de codigo."
"01_EMPENHOS/2025/2025NE199 CGSM.pdf","desnecessario, pode excluir","","Dados operacionais/backup versionados no repositorio principal; devem ficar fora do controle de codigo."
"01_EMPENHOS/2025/2025NE200 CGSM.pdf","desnecessario, pode excluir","","Dados operacionais/backup versionados no repositorio principal; devem ficar fora do controle de codigo."
"01_EMPENHOS/2025/2025NE201 CGSM.pdf","desnecessario, pode excluir","","Dados operacionais/backup versionados no repositorio principal; devem ficar fora do controle de codigo."
"02_NOTAS_FISCAIS/2026/29260251561070000150550010000004851300001174.xml","desnecessario, pode excluir","","Dados operacionais/backup versionados no repositorio principal; devem ficar fora do controle de codigo."
"02_NOTAS_FISCAIS/2026/NF 485 CGSM.pdf","desnecessario, pode excluir","","Dados operacionais/backup versionados no repositorio principal; devem ficar fora do controle de codigo."
"04_BACKUPS/BKUP_IFDESK_GERAL_2026-02-09T18-21_v6.json","desnecessario, pode excluir","","Dados operacionais/backup versionados no repositorio principal; devem ficar fora do controle de codigo."
"04_BACKUPS/IFDESK_Backup_2026-02-04T17-29-40.json","desnecessario, pode excluir","","Dados operacionais/backup versionados no repositorio principal; devem ficar fora do controle de codigo."
"04_BACKUPS/IFDESK_backup_2026-02-04T13-34-50.json","desnecessario, pode excluir","","Dados operacionais/backup versionados no repositorio principal; devem ficar fora do controle de codigo."
"04_BACKUPS/README.md","coeso e necessario","3","Em uso ou parte estrutural valida da aplicacao/projeto."
"CHANGELOG.md","coeso e necessario","726","Em uso ou parte estrutural valida da aplicacao/projeto."
"Dockerfile.backend","coeso e necessario","71","Em uso ou parte estrutural valida da aplicacao/projeto."
"Dockerfile.frontend","coeso e necessario","50","Em uso ou parte estrutural valida da aplicacao/projeto."
"IF GUANAMBI/00_CONFIG/app-config.json","coeso e necessario","12","Em uso ou parte estrutural valida da aplicacao/projeto."
"README.md","coeso e necessario","697","Em uso ou parte estrutural valida da aplicacao/projeto."
"README_DOCKER.md","coeso e necessario","38","Em uso ou parte estrutural valida da aplicacao/projeto."
"SCAN_REPORT.txt","desnecessario, pode excluir","","Artefato gerado automaticamente; nao e codigo-fonte nem documento canônico."
"config/IFDESK.code-workspace","coeso e necessario","12","Em uso ou parte estrutural valida da aplicacao/projeto."
"config/README.md","coeso e necessario","68","Em uso ou parte estrutural valida da aplicacao/projeto."
"config/changelog.json","coeso e necessario","73","Em uso ou parte estrutural valida da aplicacao/projeto."
"config/configuracoes.html","coeso e necessario","900","Em uso ou parte estrutural valida da aplicacao/projeto."
"config/diagnostico-cache.html","coeso e necessario","59","Em uso ou parte estrutural valida da aplicacao/projeto."
"config/gerenciar-backups.html","coeso e necessario","63","Em uso ou parte estrutural valida da aplicacao/projeto."
"config/importar-nfe.html","coeso e necessario","270","Em uso ou parte estrutural valida da aplicacao/projeto."
"consultas/README.md","coeso e necessario","57","Em uso ou parte estrutural valida da aplicacao/projeto."
"consultas/index.html","coeso e necessario","192","Em uso ou parte estrutural valida da aplicacao/projeto."
"css/consultas.css","coeso e necessario","2306","Em uso ou parte estrutural valida da aplicacao/projeto."
"css/protecao.css","coeso e necessario","667","Em uso ou parte estrutural valida da aplicacao/projeto."
"css/reports.css","coeso e necessario","678","Em uso ou parte estrutural valida da aplicacao/projeto."
"css/style.css","coeso e necessario","4987","Em uso ou parte estrutural valida da aplicacao/projeto."
"css/tailwind-source.css","coeso e necessario","4980","Em uso ou parte estrutural valida da aplicacao/projeto."
"css/tailwind.css","coeso e necessario","2","Em uso ou parte estrutural valida da aplicacao/projeto."
"data/README.md","coeso e necessario","54","Em uso ou parte estrutural valida da aplicacao/projeto."
"database/init/init.sql","coeso e necessario","3","Em uso ou parte estrutural valida da aplicacao/projeto."
"database/migrations/.gitkeep","coeso e necessario","1","Em uso ou parte estrutural valida da aplicacao/projeto."
"database/seeds/.gitkeep","coeso e necessario","1","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/addons/loadtest.yml","coeso e necessario","56","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/addons/logging.yml","coeso e necessario","58","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/addons/monitoring.yml","coeso e necessario","108","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/addons/test.yml","coeso e necessario","168","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/addons/waf.yml","coeso e necessario","45","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/dev/docker-compose.dev.yml","coeso e necessario","151","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/dev/nginx.dev.conf","coeso e necessario","137","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/entrypoint-backend.sh","coeso e necessario","38","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/grafana/provisioning/dashboards/dashboards.yml","coeso e necessario","15","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/grafana/provisioning/dashboards/singem-overview.json","coeso e necessario","585","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/grafana/provisioning/datasources/loki.yml","coeso e necessario","14","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/grafana/provisioning/datasources/prometheus.yml","coeso e necessario","14","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/k6/singem-load.js","coeso e necessario","170","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/loki/loki-config.yml","coeso e necessario","55","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/loki/promtail-config.yml","coeso e necessario","79","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/modsecurity/singem-exclusions.conf","coeso e necessario","73","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/nginx-waf.conf","coeso e necessario","137","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/prod/.env.example","coeso e necessario","90","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/prod/.env.prod","coeso e necessario","15","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/prod/docker-compose.prod.ssl.yml","coeso e necessario","23","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/prod/docker-compose.prod.yml","coeso e necessario","140","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/prod/nginx.conf","coeso e necessario","133","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/prod/nginx.ssl.conf","coeso e necessario","176","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/prometheus.yml","coeso e necessario","69","Em uso ou parte estrutural valida da aplicacao/projeto."
"docker/test-runner.js","coeso e necessario","79","Em uso ou parte estrutural valida da aplicacao/projeto."
"docs/ADR_PADRONIZACAO_ROTAS_BACKEND.md","coeso e necessario","51","Documentacao tecnica; util para governanca e manutencao."
"docs/ALMOXARIFADO_VALIDACAO_LOCAL.md","coeso e necessario","87","Documentacao tecnica; util para governanca e manutencao."
"docs/AMBIENTE_DESCARTAVEL_DEV.md","coeso e necessario","31","Documentacao tecnica; util para governanca e manutencao."
"docs/ANALISE_GLOBAL.md","coeso e necessario","210","Documentacao tecnica; util para governanca e manutencao."
"docs/AUDITORIA_REAL_REESTRUTURACAO_2026-04-01.md","coeso e necessario","151","Documentacao tecnica; util para governanca e manutencao."
"docs/AUTOMACAO-POWERSHELL7.md","coeso e necessario","34","Documentacao tecnica; util para governanca e manutencao."
"docs/BOAS_PRATICAS.md","coeso e necessario","380","Documentacao tecnica; util para governanca e manutencao."
"docs/CHANGELOG.md","coeso e necessario","231","Documentacao tecnica; util para governanca e manutencao."
"docs/CONFIGURACOES.md","coeso e necessario","542","Documentacao tecnica; util para governanca e manutencao."
"docs/CONSULTAS_DIVERSAS.md","coeso e necessario","351","Documentacao tecnica; util para governanca e manutencao."
"docs/CONTROLE_SALDOS_EMPENHOS.md","coeso e necessario","312","Documentacao tecnica; util para governanca e manutencao."
"docs/COPILOT-CATMAT-ULTRA-PERF.md","coeso e necessario","81","Documentacao tecnica; util para governanca e manutencao."
"docs/CORRECAO_REPOSITORY_IMPORT.md","coeso e necessario","571","Documentacao tecnica; util para governanca e manutencao."
"docs/CORRECAO_SAVE_UNIDADE.md","coeso e necessario","292","Documentacao tecnica; util para governanca e manutencao."
"docs/CORRECAO_SECURITYERROR.md","coeso e necessario","604","Documentacao tecnica; util para governanca e manutencao."
"docs/CREDENCIAIS_ACESSO.md","coeso e necessario","139","Documentacao tecnica; util para governanca e manutencao."
"docs/DB_HEALTH.md","coeso e necessario","373","Documentacao tecnica; util para governanca e manutencao."
"docs/DIAGNOSTICO_CONSULTAS.md","coeso e necessario","148","Documentacao tecnica; util para governanca e manutencao."
"docs/ESTRUTURA_PROJETO.md","coeso e necessario","656","Documentacao tecnica; util para governanca e manutencao."
"docs/FIX_SALVAMENTO_ARQUIVOS.md","coeso e necessario","319","Documentacao tecnica; util para governanca e manutencao."
"docs/FIX_SHOWINFO_FUNCTION.md","coeso e necessario","275","Documentacao tecnica; util para governanca e manutencao."
"docs/GITHUB_ENVIRONMENTS.md","coeso e necessario","97","Documentacao tecnica; util para governanca e manutencao."
"docs/GUIA_FILE_SYSTEM_API.md","coeso e necessario","476","Documentacao tecnica; util para governanca e manutencao."
"docs/GUIA_INICIO_RAPIDO.md","coeso e necessario","343","Documentacao tecnica; util para governanca e manutencao."
"docs/GUIA_RAPIDO_NE.md","coeso e necessario","235","Documentacao tecnica; util para governanca e manutencao."
"docs/GUIA_RAPIDO_SALDOS.md","coeso e necessario","143","Documentacao tecnica; util para governanca e manutencao."
"docs/GUIA_USO_APLICACAO.md","coeso e necessario","150","Documentacao tecnica; util para governanca e manutencao."
"docs/HIGIENE_CODIGO.md","coeso e necessario","89","Documentacao tecnica; util para governanca e manutencao."
"docs/IMPLEMENTACAO_PROTECAO_PASTAS.md","coeso e necessario","468","Documentacao tecnica; util para governanca e manutencao."
"docs/IMPORTACAO_NFE.md","coeso e necessario","292","Documentacao tecnica; util para governanca e manutencao."
"docs/INFRAESTRUTURA_ENTERPRISE.md","coeso e necessario","556","Documentacao tecnica; util para governanca e manutencao."
"docs/LEIA-ME_NE_PARSER.md","coeso e necessario","158","Documentacao tecnica; util para governanca e manutencao."
"docs/LIMPEZA_EXECUTADA.md","coeso e necessario","364","Documentacao tecnica; util para governanca e manutencao."
"docs/LIMPEZA_PROFUNDA.md","coeso e necessario","362","Documentacao tecnica; util para governanca e manutencao."
"docs/NAVEGACAO.md","coeso e necessario","303","Documentacao tecnica; util para governanca e manutencao."
"docs/NE_PARSER.md","coeso e necessario","301","Documentacao tecnica; util para governanca e manutencao."
"docs/PADRAO_QUALIDADE.md","coeso e necessario","144","Documentacao tecnica; util para governanca e manutencao."
"docs/PADRONIZACAO_NF.md","coeso e necessario","264","Documentacao tecnica; util para governanca e manutencao."
"docs/PERFORMANCE_ESTABILIDADE.md","coeso e necessario","156","Documentacao tecnica; util para governanca e manutencao."
"docs/PLANO_DEPRECACAO_NFE_V1.md","coeso e necessario","40","Documentacao tecnica; util para governanca e manutencao."
"docs/PLANO_RESTRUTURACAO_APP_JS.md","coeso e necessario","137","Documentacao tecnica; util para governanca e manutencao."
"docs/PRD_EXECUTIVO_SINGEM_1PAGINA.md","coeso e necessario","73","Documentacao tecnica; util para governanca e manutencao."
"docs/PRD_REFINADO_SINGEM_2026.md","coeso e necessario","290","Documentacao tecnica; util para governanca e manutencao."
"docs/README_DEV_NF.md","coeso e necessario","255","Documentacao tecnica; util para governanca e manutencao."
"docs/README_V2.md","coeso e necessario","540","Documentacao tecnica; util para governanca e manutencao."
"docs/RELATORIO-AUDITORIA-CONFORMIDADE.md","coeso e necessario","80","Documentacao tecnica; util para governanca e manutencao."
"docs/RELATORIO-AUDITORIA-ESCALABILIDADE.md","coeso e necessario","83","Documentacao tecnica; util para governanca e manutencao."
"docs/RELATORIO-AUDITORIA-INTEGRACAO.md","coeso e necessario","329","Documentacao tecnica; util para governanca e manutencao."
"docs/RELATORIO-AUDITORIA-MASTER.md","coeso e necessario","177","Documentacao tecnica; util para governanca e manutencao."
